MaleParticipants,maleIsoIndMeans,FemaleParticipants,femaleIsoIndMeans,maleGroupIsoMean,femaleGroupIsoMean,day1toDay2,day2toDay3,normDay1mean,normDay2mean,normDay3mean
1,191.666666666667,3,168.233333333333,198.105128205128,141.855555555556,1,2,2.60167892520229,2.4977005772516,2.41294016284276
2,226.5,4,92.1,,,3,9,,,
6,178.166666666667,5,121.733333333333,,,4,12,,,
7,211.966666666667,8,151.966666666667,,,5,14,,,
10,210.666666666667,9,127.566666666667,,,6,15,,,
12,210.333333333333,11,162,,,7,16,,,
15,232.366666666667,13,201.733333333333,,,8,17,,,
16,262.133333333333,14,174.433333333333,,,9,19,,,
20,146.166666666667,17,130.1,,,16,20,,,
21,185.5,18,111.8,,,17,21,,,
23,242.666666666667,19,151.933333333333,,,22,23,,,
24,142.066666666667,22,108.666666666667,,,23,,,,
25,135.166666666667,,,,,,,,,
