maleIsoIndMeans,femaleIsoIndMeans,maleGroupIsoMean,femaleGroupIsoMean,day1toDay2,day2toDay3,normDay1mean,normDay2mean,normDay3mean
191.666666666667,168.233333333333,198.105128205128,141.855555555556,1,2,2.60167892520229,2.4977005772516,2.41294016284276
226.5,92.1,,,3,9,,,
178.166666666667,121.733333333333,,,4,12,,,
211.966666666667,151.966666666667,,,5,14,,,
210.666666666667,127.566666666667,,,6,15,,,
210.333333333333,162,,,7,16,,,
232.366666666667,201.733333333333,,,8,17,,,
262.133333333333,174.433333333333,,,9,19,,,
146.166666666667,130.1,,,16,20,,,
185.5,111.8,,,17,21,,,
242.666666666667,151.933333333333,,,22,23,,,
142.066666666667,108.666666666667,,,23,,,,
135.166666666667,,,,,,,,
